Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Clumber Park Lake,11,11,13,13,16,16,31,31,51,51,11,11,13,13,16,16,31,31,51,51,Sep,24.0,140
Pitsford Reservoir,(126),(126),136,136,159,159,121,121,122,122,(126),(126),136,136,159,159,121,121,122,122,Oct,135.0,140
Loch of Skene,142,142,137,137,69,69,34,34,31,31,142,142,137,137,69,69,34,34,31,31,Jul,83.0,138
Serpentine and Long Water and Round Pond - Kensington,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,138
Ringstead Gravel Pits,nan,nan,nan,nan,nan,nan,104,104,nan,nan,nan,nan,nan,nan,nan,nan,104,104,nan,nan,nan,104.0,137
Windermere,nan,nan,nan,nan,nan,nan,(164),(164),141,141,nan,nan,nan,nan,nan,nan,(164),(164),141,141,Sep,153.0,135
Hogganfield Loch,178,178,205,205,153,153,173,173,157,157,178,178,205,205,153,153,173,173,157,157,Mar,173.0,134
Hornsea Mere,394,394,364,364,346,346,217,217,486,486,394,394,364,364,346,346,217,217,486,486,Jul,361.0,134
Southport Marina,252,252,143,143,132,132,138,138,142,142,252,252,143,143,132,132,138,138,142,142,Jul,161.0,133
Clifford Hill Gravel Pits Consolidated,114,114,166,166,127,127,97,97,135,135,114,114,166,166,127,127,97,97,135,135,Oct,128.0,132
Lee Valley Gravel Pits,126,126,152,152,129,129,193,193,162,162,126,126,152,152,129,129,193,193,162,162,Oct,152.0,132
Willen Lake,24,24,41,41,96,96,106,106,139,139,24,24,41,41,96,96,106,106,139,139,Aug,81.0,132
Hardley Flood,nan,nan,nan,nan,108,108,nan,nan,194,194,nan,nan,nan,nan,108,108,nan,nan,194,194,Nov,151.0,131
River Wye - Sellack Marsh to Sellack Boat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130
Lindores Loch,5,5,10,10,13,13,31,31,17,17,5,5,10,10,13,13,31,31,17,17,Sep,15.0,129
Little Paxton Gravel Pits,109,109,101,101,107,107,77,77,131,131,109,109,101,101,107,107,77,77,131,131,Dec,105.0,129
Lower Derwent Ings,111,111,108,108,141,141,151,151,147,147,111,111,108,108,141,141,151,151,147,147,Jan,132.0,127
River Wear at Chester-le-Street,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124
Castle Loch Lochmaben,38,38,79,79,92,92,101,101,91,91,38,38,79,79,92,92,101,101,91,91,Jun,80.0,122
Harrow Lodge Park,nan,nan,72,72,89,89,142,142,149,149,nan,nan,72,72,89,89,142,142,149,149,Feb,113.0,122
Morecambe Bay,(269),(269),333,333,(314),(314),219,219,177,177,(269),(269),333,333,(314),(314),219,219,177,177,Feb,262.0,122
River Avon - Ringwood to Christchurch,199,199,(173),(173),(181),(181),209,209,184,184,199,199,(173),(173),(181),(181),209,209,184,184,Sep,197.0,121
Southampton Water,132Standard visit under the WeBS Low Tide Count SurveyWeBS,132Standard visit under the WeBS Low Tide Count SurveyWeBS,143Standard visit under the WeBS Low Tide Count SurveyWeBS,143Standard visit under the WeBS Low Tide Count SurveyWeBS,142,142,90,90,70,70,132Standard visit under the WeBS Low Tide Count SurveyWeBS,132Standard visit under the WeBS Low Tide Count SurveyWeBS,143Standard visit under the WeBS Low Tide Count SurveyWeBS,143Standard visit under the WeBS Low Tide Count SurveyWeBS,142,142,90,90,70,70,Jul,115.0,121
Eyebrook Reservoir,49,49,nan,nan,68,68,73,73,108,108,49,49,nan,nan,68,68,73,73,108,108,Sep,75.0,119
Dornoch Firth,152,152,177,177,149,149,112Standard visit under the WeBS Low Tide Count SurveyWeBS,112Standard visit under the WeBS Low Tide Count SurveyWeBS,115,115,152,152,177,177,149,149,112Standard visit under the WeBS Low Tide Count SurveyWeBS,112Standard visit under the WeBS Low Tide Count SurveyWeBS,115,115,Dec,141.0,117
River Witham: Bardney Bridge to Five Mile House,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117
Thrapston Gravel Pits,124,124,(224),(224),(237),(237),193,193,(204),(204),124,124,(224),(224),(237),(237),193,193,(204),(204),Nov,196.0,117
River Devon - Alva to Tullibody Bridge,18,18,7,7,6,6,6,6,8,8,18,18,7,7,6,6,6,6,8,8,Nov,9.0,116
Queen Elizabeth II Country Park Lakes,nan,nan,nan,nan,16,16,44,44,57,57,nan,nan,nan,nan,16,16,44,44,57,57,Jan,39.0,115
Ribble Estuary,139,139,103,103,301,301,143,143,224,224,139,139,103,103,301,301,143,143,224,224,Jul,182.0,115
Swale Estuary,205,205,198,198,190,190,239,239,300,300,205,205,198,198,190,190,239,239,300,300,Jan,226.0,115
Lower Frome,nan,nan,nan,nan,nan,nan,122,122,nan,nan,nan,nan,nan,nan,nan,nan,122,122,nan,nan,nan,122.0,112
Colne Valley Gravel Pits,(114),(114),156,156,211,211,(127),(127),100,100,(114),(114),156,156,211,211,(127),(127),100,100,Mar,156.0,108
Lavan Sands,5,5,(22),(22),113,113,153,153,152,152,5,5,(22),(22),113,113,153,153,152,152,Sep,106.0,108
Cotswold Water Park (East),63,63,72,72,65,65,72,72,110,110,63,63,72,72,65,65,72,72,110,110,Feb,76.0,107
Loch of Stenness,96,96,(102),(102),74,74,99,99,82,82,96,96,(102),(102),74,74,99,99,82,82,Mar,91.0,107
Hickling Broad,142,142,168,168,55,55,7,7,(42),(42),142,142,168,168,55,55,7,7,(42),(42),Oct,93.0,103
Yetholm Loch,18,18,65,65,nan,nan,83,83,86,86,18,18,65,65,nan,nan,83,83,86,86,Dec,63.0,103
Exe Estuary,118,118,121,121,189,189,112,112,55,55,118,118,121,121,189,189,112,112,55,55,Nov,119.0,101
Pond of Drummond,21,21,53,53,182,182,nan,nan,81,81,21,21,53,53,182,182,nan,nan,81,81,Sep,84.0,100
River Tweed - Kelso to Coldstream,274,274,127,127,130,130,217,217,190,190,274,274,127,127,130,130,217,217,190,190,Jan,188.0,100
Lochend Loch,68,68,90,90,85,85,82,82,81,81,68,68,90,90,85,85,82,82,81,81,Apr,81.0,99
Alvecote Pools,70,70,79,79,85,85,nan,nan,nan,nan,70,70,79,79,85,85,nan,nan,nan,nan,nan,78.0,97
Fisherwick and Elford Gravel Pits,288,288,301,301,128,128,215,215,290,290,288,288,301,301,128,128,215,215,290,290,Dec,244.0,97
Linford Gravel Pits,100,100,78,78,99,99,35,35,125,125,100,100,78,78,99,99,35,35,125,125,Sep,87.0,96
Castle Howard Lake,nan,nan,nan,nan,nan,nan,4,4,nan,nan,nan,nan,nan,nan,nan,nan,4,4,nan,nan,nan,4.0,95
Roath Park Lake,nan,nan,nan,nan,21,21,24,24,27,27,nan,nan,nan,nan,21,21,24,24,27,27,Oct,24.0,95
Whitlingham Country Park,30,30,43,43,15,15,5,5,36,36,30,30,43,43,15,15,5,5,36,36,Oct,26.0,95
Ferry Meadows (Nene Park),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,93
