Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
River Welland - Harringworth to Duddington,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
River Wye - Cressbrook Mill Ponds,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,nan,0.0,2
Robroyston Park Pond,0,0,nan,nan,nan,nan,nan,nan,2.0,2.0,0,0,nan,nan,nan,nan,nan,nan,2.0,2.0,May,1.0,2
Rodden Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Royal George Mill Reservoir,0,0,0,0,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0.0,0.0,2.0,2.0,Dec,0.0,2
Rudyard Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Saddington Reservoir,4,4,nan,nan,nan,nan,nan,nan,nan,nan,4,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,2
Sandwell Valley Country Park,12,12,19,19,11,11,12.0,12.0,19.0,19.0,12,12,19,19,11,11,12.0,12.0,19.0,19.0,Oct,15.0,2
Seagahan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Shillahill Oxbow Lochmaben,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Shotover Park Lake,nan,nan,nan,nan,nan,nan,4.0,4.0,3.0,3.0,nan,nan,nan,nan,nan,nan,4.0,4.0,3.0,3.0,Oct,4.0,2
Sinah Gravel Pit,2,2,2,2,5,5,2.0,2.0,5.0,5.0,2,2,2,2,5,5,2.0,2.0,5.0,5.0,Oct,3.0,2
Slaugham Mill Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
South Hinksey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
South Huish Marsh,0,0,2,2,0,0,2.0,2.0,0.0,0.0,0,0,2,2,0,0,2.0,2.0,0.0,0.0,nan,1.0,2
South Uist West Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Southwater Quarry,12.0,12.0,4,4,8,8,3,3,2.0,2.0,12.0,12.0,4,4,8,8,3,3,2.0,2.0,Oct,6.0,2
Sparham Pools Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Spytty Park Pond (Newport),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
"St Andrews University Pond, North Haugh",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
St Helen's Loch,9.0,9.0,2,2,0,0,2,2,8.0,8.0,9.0,9.0,2,2,0,0,2,2,8.0,8.0,Oct,4.0,2
Stanford Quarry (Shellingford Pit),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Stantling Craigs Reservoir,nan,nan,(2),(2),nan,nan,9,9,2.0,2.0,nan,nan,(2),(2),nan,nan,9,9,2.0,2.0,Jul,6.0,2
Staunton Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Stowe Castle Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Stowe and Minster Pools,nan,nan,6,6,nan,nan,nan,nan,nan,nan,nan,nan,6,6,nan,nan,nan,nan,nan,nan,nan,6.0,2
Swans Pond,4.0,4.0,2,2,2,2,1,1,2.0,2.0,4.0,4.0,2,2,2,2,1,1,2.0,2.0,Jul,2.0,2
Tannoch Loch,6.0,6.0,2,2,6,6,9,9,9.0,9.0,6.0,6.0,2,2,6,6,9,9,9.0,9.0,Jul,6.0,2
Tarn House Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Terrybank Tarn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
The Mynde,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
The Shunan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
The Warrage Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Thornbridge Hall Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Thorness Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Thornton Cleveleys (Taylor's Farm),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Thornton Steward Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Thurlestone Bay: Loam Castle-Beacon Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Thurlestone Marsh,1.0,1.0,0,0,(0),(0),(0),(0),2.0,2.0,1.0,1.0,0,0,(0),(0),(0),(0),2.0,2.0,Mar,1.0,2
Tooting Common,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Traeth Crugan,4.0,4.0,0,0,0,0,(0),(0),0.0,0.0,4.0,4.0,0,0,0,0,(0),(0),0.0,0.0,nan,1.0,2
Trennick Pond (Truro),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Treowen Lake and Ponds,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0.0,2
Tucklesholme Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Tynemouth Boating Lake,nan,nan,nan,nan,nan,nan,nan,nan,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,3.0,Nov,3.0,2
Union Canal - Brightons to Aqueduct,29.0,29.0,19,19,10,10,19,19,4.0,4.0,29.0,29.0,19,19,10,10,19,19,4.0,4.0,Dec,16.0,2
University Broad Norwich,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Urquhart Bay - Loch Ness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Vadill of Garth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Vyne Floods,nan,nan,nan,nan,nan,nan,3,3,2.0,2.0,nan,nan,nan,nan,nan,nan,3,3,2.0,2.0,Feb,3.0,2
War Brook Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Wast Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Waughton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Waverley Abbey Lake,0,0,nan,nan,nan,nan,2,2,1.0,1.0,0,0,nan,nan,nan,nan,2,2,1.0,1.0,May,1.0,2
Welham Park Malton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Wellcome Trust Wetlands NR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Welshman`s Road Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
West End Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Westbury Ponds,8,8,9,9,7.0,7.0,9,9,6.0,6.0,8,8,9,9,7.0,7.0,9,9,6.0,6.0,Jul,8.0,2
Westfield Flood - Smail Holm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Westham Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
White Bridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
White Law Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Whitrig Bog,(15),(15),(18),(18),nan,nan,nan,nan,nan,nan,(15),(15),(18),(18),nan,nan,nan,nan,nan,nan,nan,17.0,2
Williamwath Bridge (River Annan),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Winchburgh Quarry,4,4,8,8,nan,nan,(4),(4),8.0,8.0,4,4,8,8,nan,nan,(4),(4),8.0,8.0,Apr,7.0,2
Winterfield to Barns Ness,0,0,0,0,0.0,0.0,0,0,9.0,9.0,0,0,0,0,0.0,0.0,0,0,9.0,9.0,Sep,2.0,2
Winterley Pool (Pond),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Woburn Road Wetlands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Wolverton Lake Kingsclere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Woodend Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Worplesdon Place Hotel,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Worsley Dam,2,2,2,2,4.0,4.0,2,2,2.0,2.0,2,2,2,2,4.0,4.0,2,2,2.0,2.0,Mar,2.0,2
Worthington Lakes,3,3,3,3,2.0,2.0,0,0,4.0,4.0,3,3,3,3,2.0,2.0,0,0,4.0,4.0,Jan,2.0,2
"Wyck Ponds, Binsted",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
Yetholm Pond,3,3,4,4,nan,nan,10,10,6.0,6.0,3,3,4,4,nan,nan,10,10,6.0,6.0,Nov,6.0,2
Aberdona West Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Acre Nook Sand Quarry,7,7,5.0,5.0,4.0,4.0,2.0,2.0,8.0,8.0,7,7,5.0,5.0,4.0,4.0,2.0,2.0,8.0,8.0,Aug,5.0,1
Afon Cynon - Tirfounder Fields,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1
Alexandra Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Allan Water and Netherton Marsh,nan,nan,nan,nan,nan,nan,1.0,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,1.0,1.0,2.0,2.0,Feb,2.0,1
Allestree Park Lakes,0,0,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,1
Altofts Ings,4,4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Nov,2.0,1
Angling Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Anstruther Bay,(0),(0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(0),(0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1
Arbroath Coast - East Haven to Elliot,8,8,6.0,6.0,nan,nan,nan,nan,nan,nan,8,8,6.0,6.0,nan,nan,nan,nan,nan,nan,nan,7.0,1
Arnot Reservoir,0,0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,0,0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,Jan,2.0,1
Ashe Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Auchenlaich Farm Pond B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Auldhame Farm Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Avenue Washlands Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Avon - Cumberland Basin to Netham Weir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Baglan Pool,5,5,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5,5,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,Jul,4.0,1
Ballyhaugh Loch (Coll),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Barcraigs Reservoir,1,1,2.0,2.0,8.0,8.0,0.0,0.0,4.0,4.0,1,1,2.0,2.0,8.0,8.0,0.0,0.0,4.0,4.0,Jan,3.0,1
Barean Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bathingbourne Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bay Ponds,4,4,nan,nan,7.0,7.0,nan,nan,3.0,3.0,4,4,nan,nan,7.0,7.0,nan,nan,3.0,3.0,Dec,5.0,1
Beadnell to Seahouses,(4),(4),4.0,4.0,6.0,6.0,3.0,3.0,7.0,7.0,(4),(4),4.0,4.0,6.0,6.0,3.0,3.0,7.0,7.0,Oct,5.0,1
Bengalhill (Lockerbie),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bentinck Void and Pit Tip,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Birchgrove Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
"Black Lake, Surrey",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Black Leases Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Black Loch (Limerigg),0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,nan,0.0,1
Blackbrook Reservoir,nan,nan,nan,nan,nan,nan,0.0,0.0,5.0,5.0,nan,nan,nan,nan,nan,nan,0.0,0.0,5.0,5.0,Jun,3.0,1
Blair Atholl West Pond,nan,nan,0,0,0.0,0.0,0,0,0.0,0.0,nan,nan,0,0,0.0,0.0,0,0,0.0,0.0,nan,0.0,1
Blairbowie Farm Flash,0.0,0.0,0,0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,1,0.0,0.0,nan,0.0,1
Blea Tarn Reservoir and Langthwaite Reservoir,2.0,2.0,0,0,nan,nan,nan,nan,0.0,0.0,2.0,2.0,0,0,nan,nan,nan,nan,0.0,0.0,nan,1.0,1
Blickling Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Blue Waters Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bolney Mill Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Borwick Fold,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bothwell Park Farm Pond,2.0,2.0,8,8,7.0,7.0,2,2,2.0,2.0,2.0,2.0,8,8,7.0,7.0,2,2,2.0,2.0,Jul,4.0,1
Bowden Reservoir (Bowden Moor Loch),nan,nan,3Supplementary visit under the WeBS Core Count SurveyWeBS,3Supplementary visit under the WeBS Core Count SurveyWeBS,2.0,2.0,2,2,2.0,2.0,nan,nan,3Supplementary visit under the WeBS Core Count SurveyWeBS,3Supplementary visit under the WeBS Core Count SurveyWeBS,2.0,2.0,2,2,2.0,2.0,Sep,2.0,1
Bowstard Loch,2.0,2.0,2,2,0.0,0.0,2,2,0.0,0.0,2.0,2.0,2,2,0.0,0.0,2,2,0.0,0.0,nan,1.0,1
Bransholme Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Braystones Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Brickworks Pond Rhyl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bridgend Farm Pool,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,Sep,1.0,1
"Brightlingsea, Moverons, Alresford and Wivenhoe Gravel Pits",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bromham Gravel Pits,2.0,2.0,2,2,2.0,2.0,2,2,2.0,2.0,2.0,2.0,2,2,2.0,2.0,2,2,2.0,2.0,Jun,2.0,1
Broomhill Oxbow,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Bryn Bach Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Buscot Lakes and Reservoir,2.0,2.0,6,6,nan,nan,2,2,2.0,2.0,2.0,2.0,6,6,nan,nan,2,2,2.0,2.0,Dec,3.0,1
Buttermere,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,nan,0.0,1
Caernarfon Bay,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1
Cambois to Newbiggin,6.0,6.0,6,6,19.0,19.0,(2),(2),5.0,5.0,6.0,6.0,6,6,19.0,19.0,(2),(2),5.0,5.0,Sep,9.0,1
Carron Valley Reservoir Fintry,nan,nan,0,0,0.0,0.0,2,2,2.0,2.0,nan,nan,0,0,0.0,0.0,2,2,2.0,2.0,Sep,1.0,1
Castlemartin Corse,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Cathkin Marsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Chelker Reservoir,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,nan,0.0,1
Chilworth Station Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Churchill Nr Hagley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Churchstoke Wildlife Park Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Clapham Common,4.0,4.0,nan,nan,nan,nan,4,4,2.0,2.0,4.0,4.0,nan,nan,nan,nan,4,4,2.0,2.0,Feb,3.0,1
Claremont Lake Esher,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Clowes Park,nan,nan,nan,nan,nan,nan,(2),(2),2.0,2.0,nan,nan,nan,nan,nan,nan,(2),(2),2.0,2.0,Oct,2.0,1
Coed Hirwaun Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Comanche Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Copgrove Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Craigrie Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Crygmarren Pond,2.0,2.0,(1),(1),0.0,0.0,nan,nan,2.0,2.0,2.0,2.0,(1),(1),0.0,0.0,nan,nan,2.0,2.0,Nov,1.0,1
Crystal Palace Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Culcreuch Castle Pond,2.0,2.0,2,2,8.0,8.0,8,8,4.0,4.0,2.0,2.0,2,2,8.0,8.0,8,8,4.0,4.0,Sep,5.0,1
Dane Valley - Holmes Chapel to Swettenham,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Darnrigg Moss Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Darwell Reservoir,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0,May,1.0,1
Daw Street Farm Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Devoke Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Dingle Farm Uley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Doffcocker Lodge,2.0,2.0,2,2,2.0,2.0,2,2,4.0,4.0,2.0,2.0,2,2,2.0,2.0,2,2,4.0,4.0,Aug,2.0,1
Dumbrock Loch,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,nan,0.0,1
Dunstaffnage Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Dunwan Dam,0.0,0.0,0,0,0.0,0.0,0,0,2.0,2.0,0.0,0.0,0,0,0.0,0.0,0,0,2.0,2.0,Mar,0.0,1
Dwr Cleifion,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Eas Gobhain - Gartchonzie,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Eastwater House Bramley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Eccleston Mere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Eglinton Park,nan,nan,nan,nan,nan,nan,2,2,nan,nan,nan,nan,nan,nan,nan,nan,2,2,nan,nan,nan,2.0,1
Elrig Loch Port William,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,0.0,1
Erddig Park Lake,nan,nan,2,2,2.0,2.0,(2),(2),2.0,2.0,nan,nan,2,2,2.0,2.0,(2),(2),2.0,2.0,Jul,2.0,1
Esbie - North of Lochmaben,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Far Grange Country Park,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,1
Fenemere,2.0,2.0,0,0,1.0,1.0,0,0,1.0,1.0,2.0,2.0,0,0,1.0,1.0,0,0,1.0,1.0,Mar,1.0,1
Fergus Loch,11.0,11.0,9,9,4.0,4.0,9,9,2.0,2.0,11.0,11.0,9,9,4.0,4.0,9,9,2.0,2.0,Feb,7.0,1
Filey Dams,4,4,2,2,2.0,2.0,2.0,2.0,2,2,4,4,2,2,2.0,2.0,2.0,2.0,2,2,Oct,2.0,1
"Fire Station Pool, Alloa",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Fishburn Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
