Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughAccessTime
Tyninghame Estuary,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Tyttenhanger Gravel Pits,0.0,0,0,(0),(0),0,0.0,(0),0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Ugie Estuary,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Upper Lough Erne,0.0,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Uyea Sound,nan,0,0,0,0,0,0.0,0,0,0.0,1,0.0,0.0,1,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
WWT Caerlaverock (Inland),0.0,0,(0),0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,nan,nan,nan,0,0,12,2019-11-21 14:27:00
WWT Martin Mere,1.0,1,0,0,0,0,0.0,0,0,2.0,0,0.0,0.0,1,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Walthamstow Reservoirs,0.0,0,0,0,0,0,0.0,0,0,0.0,0,nan,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Wanlip North Lakes,0.0,0,nan,nan,nan,nan,nan,nan,nan,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,nan,0,0,12,2019-11-21 14:27:00
Watch Water Reservoir,nan,0,0.0,0.0,0.0,0.0,(0),(0),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Watermead Country Park South,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Welbeck Estate,nan,0,0.0,0.0,0.0,0.0,(0),(0),0,(0),0.0,0.0,(0),0,0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Wembury Beach,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0,0.0,0.0,(0),0,(0),(0),nan,0.0,0.0,13,2019-11-21 14:27:06
West Water Reservoir,0,0,nan,0.0,0.0,0.0,0,(0),0,0,0.0,0.0,nan,0,nan,nan,nan,0,nan,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Whitlingham Country Park,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Willen Lake,0,0,0.0,0.0,0.0,0.0,0,0,0,(0),0.0,nan,nan,0,0.0,0.0,0,nan,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Willington Gravel Pits,(0),(0),nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,(0),(0),0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Winterfield to Barns Ness,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Wootton Creek,nan,0,0.0,nan,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Wraysbury Gravel Pits,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,(0),0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Wraysbury Reservoir,0,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Yealm Estuary,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Ythan Estuary,0,0,0.0,0.0,0.0,0.0,(0),(0),0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,nan,0.0,0.0,13,2019-11-21 14:27:06
Aber Dwyfor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Aberaeron Harbour and Beach,0,0,0.0,0.0,0.0,0.0,0,0,12,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Ardglass Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Ardkenish Peninsular,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Ardmore Pool,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Aros River and Salen Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Axe Estuary to Otter Estuary (Devon),nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Baston and Langtoft Gravel Pits,0,(0),0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Budworth Mere (Marbury Country Park),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Ceann a Bhaigh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Coney Island Bay,nan,nan,nan,nan,13.0,0.0,0,1,11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Craster to Howick,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Dundrum Bay,nan,nan,nan,nan,nan,nan,nan,nan,0Irish Brent Goose Research Group censusnull,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
East Mainland (Orkney),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Farnham Gravel Pits,nan,nan,nan,nan,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Hunterston Sands,0,0,nan,nan,0.0,0.0,0,(2),0,0,0.0,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,2019-11-21 14:27:06
Irvine and Garnock Estuary,0,0.0,1,nan,(0),0.0,(0),0.0,(0),0,(0),0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Island of Burray,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Island of Eday,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Island of Westray,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Islands of Shapinsay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Isle of Coll,nan,nan,nan,nan,nan,0.0,0,0.0,nan,nan,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Isle of South Ronaldsay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Isles of Hoy and Walls,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Kidderminster Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Killard to Bloody Bridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Liddel Loch,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Llyn Llygeirian,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Loch Branahuie (Lewis),0,0.0,0,0.0,nan,nan,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Loch Ordais and Nearby Lochs (Lewis),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Loch Ordais and Port Mhor Bragar,(0),0.0,(0),0.0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Loch Paible (North Uist),nan,nan,nan,nan,nan,nan,1,nan,1,1,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Newborough Warren NNR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
North Loch (Sanday),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
North Ronaldsay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
North Ronaldsay Lochs,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Northton Saltings (Harris),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Ob Breakish,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Palmarsh Gravel Pit,0,0.0,0,0.0,0,0.0,0,0.0,0,(0),0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Reiff Bay and Coast,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
River Aire,nan,nan,nan,0.0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
River Witham and South Delph: Five Mile House to Short Ferry,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
Scarlett Pt to Strandhall,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
South Down Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
South Down Coast - Black Rock to Ringavaddy,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
South Down Coast - Corely Bay to Black Rock,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,2019-11-21 14:27:12
South Down Coast - Ringavaddy to Rathmullan Point,nan,nan,nan,nan,nan,nan,nan,nan,14,nan,34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
Southwest Lancashire,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
St Davids Pools (excluding Treffeiddan and Dowrog),0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,(0),0,0.0,0.0,0.0,(0),0.0,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
St Peter's Pool,nan,nan,nan,0.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
St. Ouen's Pond,0.0,nan,14.0,0.0,0.0,0.0,0.0,0.0,0,(0),0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
Stronsay (Orkney),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
Tiree,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
Traigh Luskentyre,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
Tyrella,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
West Mainland (Orkney),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
Widewall Bay,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,2019-11-21 14:27:17
END
