Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Loch of Isbister and The Loons Marshland,nan,nan,4.0,0.0,5,nan,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,7,6,2.0,8.0,1,1,2.0,5.0,8,6,1.0,2,1,1,0,2.0,1,2Supplementary visit under the WeBS Core Count SurveyWeBS,3,6,5,4,2.0,Dec,4,4,14,2019-11-29 10:14:59
Loch of Stenness,0.0,0.0,2.0,5.0,13,8.0,19.0,13.0,8.0,6.0,7.0,0.0,0.0,1.0,0.0,1,0,0,2,0.0,6.0,(4),0,4.0,7.0,21Supplementary visit under the WeBS Core Count SurveyWeBS,8,11.0,4,4,11,15,11.0,6,7,4,2,4,6,2.0,Mar,4,4,14,2019-11-29 10:14:59
Medina Estuary,nan,nan,nan,nan,(21),nan,nan,nan,98.0,68.0,30.0,61.0,90.0,78.0,67.0,41,25,66Standard visit under the WeBS Low Tide Count SurveyWeBS,43Supplementary visit under the WeBS Low Tide Count SurveyWeBS,25.0,15.0,8,4,8.0,12.0,8,14,2.0,5,4,6,9Standard visit under the WeBS Low Tide Count SurveyWeBS,4.0,6,3,4,4,4,4,2.0,Apr,4,4,14,2019-11-29 10:14:59
Mill Dam of Rango,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8.0,Mar,4,4,14,2019-11-29 10:14:59
Moray Coast,4.0,0.0,0.0,0.0,0,0.0,nan,nan,0.0,6.0,20.0,12.0,3.0,18.0,15.0,9,(18),(4),5,15.0,0.0,1,(2),6.0,2.0,2,5,0.0,1,0,(0),0,2.0,(0),0,0,8,8Supplementary visit under the WeBS Core Count SurveyWeBS,3,1.0,Feb,4,4,14,2019-11-29 10:14:59
Nevern Estuary,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,4.0,4.0,11,15,14,9,9.0,8.0,(6),3,6.0,9.0,6,7,3.0,10,10,7,5,7.0,2,2,2,3,6,6,1.0,Mar,4,4,14,2019-11-29 10:14:59
Newton Pool,nan,4.0,2.0,14.0,2,2.0,0.0,2.0,1.0,3.0,2.0,2.0,nan,3.0,2.0,20,0,0,nan,nan,nan,nan,0,0.0,0.0,0,0,1.0,0,nan,0,0,0.0,0,0,2,2,2,4,9.0,Nov,4,4,14,2019-11-29 10:14:59
Otmoor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1Supplementary visit under the WeBS Core Count SurveyWeBS,1Supplementary visit under the WeBS Core Count SurveyWeBS,1.0,2.0,1,2,2.0,1,2Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,1.0,0,0,5,0,4,4,8.0,Feb,4,4,14,2019-11-29 10:14:59
Portworthy Mica Dam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,1,0,0.0,0.0,0,0,3.0,0.0,0,0,0.0,0,0,0,0,0.0,(0),(0),2,2,0,2,12.0,Jul,4,4,14,2019-11-29 10:14:59
"Pow Flood, Madderty",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,3,4,6,7,Mar,4,4,15,2019-11-29 10:15:20
River Eden - Grinsdale to Sandsfield,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,6.0,12.0,10.0,28,0,32,2,8.0,2,2,(2),2,Mar,4,4,15,2019-11-29 10:15:20
River Teith - Wester Row to Forth confluence,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,nan,0,(2),0,0,0.0,15,2,0,(0),nan,4,4,15,2019-11-29 10:15:20
Staveley Gravel Pit,0.0,0.0,0.0,nan,nan,nan,nan,0.0,nan,1.0,nan,nan,nan,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3,4,5.0,5Supplementary visit under the WeBS Core Count SurveyWeBS,3,4,2,Sep,4,4,15,2019-11-29 10:15:20
Tabley Mere,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,2,2.0,2,2.0,2,0,0.0,0.0,2.0,3,2.0,4.0,4.0,2.0,2.0,5.0,1,3,4,2,10.0,4,3,2,3,Feb,4,4,15,2019-11-29 10:15:20
Thorness Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,2,2,5,4.0,2,4,6,2,Apr,4,4,15,2019-11-29 10:15:20
Thurlestone Bay: Loam Castle-Beacon Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,1,0.0,4,4,6,6,Sep,4,4,15,2019-11-29 10:15:20
Tweed Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,4.0,5,1.0,3,4.0,1,2.0,4,3,2.0,2.0,4.0,6,7.0,3.0,3.0,6.0,2.0,2.0,2,4,2,2,2.0,1,3,10,4,May,4,4,15,2019-11-29 10:15:20
Venus Pool,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2.0,(1),0.0,0,0.0,1,2,3.0,0.0,1.0,2,0.0,1.0,2.0,0.0,1.0,2.0,2,2,20,2,4.0,0,7,nan,nan,nan,4,4,15,2019-11-29 10:15:20
