Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughAccessTime
Filey Bay,0,0,nan,nan,nan,nan,0.0,0,nan,0.0,0,0,0.0,0,0,0,0.0,0.0,nan,nan,nan,0,0,5,2019-11-21 14:25:03
Fisherwick and Elford Gravel Pits,0,0,0.0,0.0,0,0,0.0,0,(0),0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,nan,0,0,5,2019-11-21 14:25:03
Fishguard Harbour,0,(0),0.0,0.0,0,0,0.0,0,nan,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,nan,0,0,5,2019-11-21 14:25:03
Fleet and Wey,0,0,0,(0),0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Foreland,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,(0),0,nan,nan,0,(0),(0),0.0,nan,0,0,6,2019-11-21 14:25:08
Fort Island to Sandwick Beach,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Foryd Bay,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Fraserburgh to Rosehearty,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Garlieston Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,0,nan,nan,nan,nan,0,nan,nan,0,0,6,2019-11-21 14:25:08
Gart Complex,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Gerrans Bay,nan,nan,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Girvan to Turnberry,0,0,0,0,0,0,0,0.0,(0),0.0,0.0,0,0,0,0,0,(0),0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Gouthwaite Reservoir,0,0,(0),0,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Grafham Water,0,0,0,0,0,0,0,0.0,(0),0.0,0.0,0,0,0,0,(0),0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Guernsey Shore,(0),0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Gunthorpe Gravel Pits and River Trent,0,0,0,0,0,0,0,0.0,0,0.0,0.0,nan,nan,0,nan,0,0,nan,nan,nan,nan,0,0,6,2019-11-21 14:25:08
Hamford Water,6,0,1,2,8,2,0,8.0,0,10.0,2.0,2,0,0,4,0,0,2,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Hauxley Nature Reserve,nan,nan,0,0,0,0,0,7.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Hayle Estuary,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,(0),0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Heigham Holmes,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Helford Estuary,(0),(0),(0),0,0,0,0,0.0,0,0.0,0.0,nan,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Hinchingbrooke Gravel Pit,0,0,0,0,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,6,2019-11-21 14:25:08
Holland Marshes,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1Supplementary visit under the WeBS Core Count SurveyWeBS,1,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,0,1,0.0,nan,0,0,6,2019-11-21 14:25:08
Holme Pierrepont Gravel Pits,0,0,0,nan,nan,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,nan,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Hornsea Mere,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Hoveringham and Bleasby Gravel Pits,0,0,0,0,nan,nan,0,0.0,0,0.0,0.0,0,0,(0),0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Howick to Beadnell,0,0,0,(0),0,(0),0,0.0,0,0.0,6.0,5,201,3,(0),0,1,0,(0),0.0,nan,0,0,6,2019-11-21 14:25:08
Hurworth Burn Reservoir,0,0,0,0,0,nan,0,0.0,0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Inland Sea and Alaw Estuary,0,0,0,0,0,0,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Inner Firth of Clyde,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Inner Loch Indaal,0,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Irt and Mite and Esk Estuary,0,0,nan,0,0,0,0,0.0,(0),0.0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Island of Papa Westray,nan,nan,nan,0,(0),(0),(0),0.0,0,0.0,0.0,(0),0,0,0,0,0,0,0,0.0,nan,0,0,6,2019-11-21 14:25:08
Isle of Cumbrae,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,nan,0,0,7,2019-11-21 14:25:14
Jersey Shore,0,nan,0,0.0,nan,nan,nan,nan,0.0,0,nan,0,0,0,0,0.0,0,0,nan,nan,nan,0,0,7,2019-11-21 14:25:14
Kenfig Pool,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Kentra Bay,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,(0),nan,0,0,7,2019-11-21 14:25:14
Kentraugh to Gansey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,7,2019-11-21 14:25:14
Killough Harbour,nan,nan,nan,nan,0.0,0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,nan,nan,0,0,7,2019-11-21 14:25:14
Kilnaughton Bay Port Ellen,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0,0,nan,nan,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
King's Dyke Pits Whittlesey,0,0,nan,nan,nan,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,nan,nan,nan,0,0,7,2019-11-21 14:25:14
Kingsbridge Estuary,0,0,0,0.0,0.0,(0),0.0,0.0,0.0,0,0,0,0,(0),0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Kirkcudbright Bay and Dee Estuary,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.0,0,nan,nan,nan,nan,0,0,7,2019-11-21 14:25:14
Kyle of Tongue,(0),nan,(0),nan,nan,nan,0.0,0.0,0.0,0,(0),0,(0),0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Ladyburn Lake (Druridge Bay CP),nan,nan,nan,0.0,0.0,0,0.0,0.0,0.0,0,0,nan,nan,nan,nan,nan,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Langness and Derbyhaven Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,7,2019-11-21 14:25:14
Langstone Harbour,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Lapwing Hall Pool,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Larne Lough,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Lavan Sands,0,(0),0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Lea Farm Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Lee Valley Gravel Pits,0,(0),0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Livermere and Ampton Water,0,0,0,0.0,0.0,0,0.0,0.0,nan,0,0,0,nan,nan,nan,nan,nan,nan,(0),0,nan,0,0,7,2019-11-21 14:25:14
Loch An Alltain Duibh,0,(0),0,nan,nan,nan,0.0,0.0,0.0,(0),0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch An Eilein (Tiree),0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Ardnave,0,0,0,nan,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Bee (South Uist),nan,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,nan,0,0,0,0.0,0,(0),0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Bhasapoll (Tiree),0,(0),0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Crinan,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Gilp,0,(0),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,(0),0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Gruinart,0,0,0,nan,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Hempriggs,(0),0,0,0.0,nan,nan,0.0,0.0,0.0,0,(0),0,0,0,0,0.0,0,0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Inver,0,(0),nan,nan,nan,(0),0.0,0.0,0.0,0,0,(0),(0),0,(0),0.0,(0),0,0,0,nan,0,0,7,2019-11-21 14:25:14
Loch Ken,(0),(0),0.0,(0),(0),(0),(0),nan,0,nan,nan,0,0,0,0,0,0,0,0,nan,nan,0,0,8,2019-11-21 14:25:19
Loch Leven,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Loch Lomond,0,(0),0.0,0,(0),(0),0,0.0,0,0,0,0,0,0,0,(0),(0),(0),0,(0),nan,0,0,8,2019-11-21 14:25:19
Loch Mor (Benbecula),nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0,0,0,0,(0),0,nan,0,0,8,2019-11-21 14:25:19
Loch Riaghain (Tiree),0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Loch Ryan,0,0,0.0,(0),0,0,0,0.0,(0),0,0,0,0,0,0,0,0,0,0,(0),nan,0,0,8,2019-11-21 14:25:19
Loch Sandary (North Uist),nan,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,0,0,8,2019-11-21 14:25:19
Loch a' Chinn Uacraich (Coot Loch) (Benbecula),nan,nan,nan,nan,nan,nan,nan,0.0,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Loch a' Phuill (Tiree),0,(0),0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Loch of Hundland,0,0,0.0,0,0,0,0,0.0,0,0,(0),0,0,0,0,0,0,0,(0),0,nan,0,0,8,2019-11-21 14:25:19
Loch of Reiff,nan,nan,nan,nan,nan,nan,nan,nan,0,(0),0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Loch of Spiggie,nan,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Loch of Strathbeg,0,0,0.0,0,(13),1,1,0.0,0,0,1,0,0,2,2,0,0,0,2Supplementary visit under the WeBS Core Count SurveyWeBS,0,nan,0,0,8,2019-11-21 14:25:19
Loch of Tankerness,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,0,0,8,2019-11-21 14:25:19
Loe Pool,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
London Wetland Centre,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Longis Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,(0),0,0,(0),0,0,nan,0,nan,nan,0,0,8,2019-11-21 14:25:19
Lough Foyle,0,0,0.0,0,0,0,0,0.0,0,0,0,0,(0),0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Loughs Neagh and Beg,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Lower Derwent Ings,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Maer Lake,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Maidens Harbour,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,(0),nan,0,0,8,2019-11-21 14:25:19
Marlow Gravel Pits,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),0,0,nan,nan,nan,nan,nan,0,0,8,2019-11-21 14:25:19
Mawddach Estuary,nan,nan,0.0,0,nan,nan,nan,0.0,0,0,0,0,0,0,0,0,(0),0,0,0,nan,0,0,8,2019-11-21 14:25:19
Maxey Pits,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Medmerry RSPB Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Mersey Estuary,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Middle Yare Marshes,0,0,0.0,0,1,0,0,0.0,0,0,0,(0),0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Mill Dam and Balfour Mains Pools,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Minsmere,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,8,2019-11-21 14:25:19
Moors Valley Country Park,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Morecambe Bay,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Mumbles Head,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Nene Washes,0,0,0,0,0,0.0,0,0,0,(0),0.0,0,0,0,0,0,0,0,(0),0.0,nan,0,0,9,2019-11-21 14:25:24
Nevern Estuary,0,(0),0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Newcastle Shore,0,0,0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0,nan,nan,0,nan,nan,0,0,9,2019-11-21 14:25:24
Newgale Beach,0,nan,0,0,0,0.0,0,(0),(0),0,0.0,(0),(0),(0),0,(0),(0),(0),(0),0.0,nan,0,0,9,2019-11-21 14:25:24
Newtown Estuary,0,0,0,0,0,0.0,(0),(0),0,0,0.0,0,(0),0,0,(0),0,0,(0),0.0,nan,0,0,9,2019-11-21 14:25:24
Nor Wick and Skaw,nan,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0.0,nan,0,0,9,2019-11-21 14:25:24
North Bay (South Uist),nan,nan,nan,nan,0,0.0,0,0,0,0,0.0,nan,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
North Cave Pond,nan,nan,nan,nan,0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
North Warren and Thorpeness Mere,0,0,nan,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
North West Solent,0,(0),(0),(0),(0),0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,(0),0.0,nan,0,0,9,2019-11-21 14:25:24
Nosterfield Gravel Pits,0,0,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Ogmore Estuary,(0),0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Oitir Mhor to Loch Paible (including Kirkibost) (North Uist),nan,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Orchardton and Auchencairn Bays,0,0,0,nan,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Otter Estuary,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Oulton Ponds,nan,nan,nan,nan,nan,0.0,0,0,0,(0),0.0,0,nan,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Ouse Washes,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Outer Ards Shoreline,0,0,0,nan,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Outer Loch Indaal,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Pagham Harbour,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Papercourt Gravel Pits,0,nan,nan,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Par Sands Pools and St Andrews Road,0,0,0,0,0,0.0,(0),0,0,0,0.0,0,0,0,(0),0,0,0,nan,0.0,nan,0,0,9,2019-11-21 14:25:24
Peterhead Bay and Sandford Bay,nan,nan,nan,nan,nan,0.0,0,0,nan,nan,0.0,1,(0),0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Pevensey Levels,(0),0,(0),0,0,0.0,0,(0),0,(0),0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Piltanton and Luce Estuaries,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Pirton Pool,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Pool of Virkie,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,nan,0,0,9,2019-11-21 14:25:24
Poole Harbour,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,(0),0,0,nan,0,0,10,2019-11-21 14:25:30
Port Eynon Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Port Meadow,0,0,0,(0),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Porter Brook - Sheffield,nan,0,0,0,nan,0,0.0,(0),nan,nan,nan,nan,nan,nan,0,(0),nan,nan,nan,0,nan,0,0,10,2019-11-21 14:25:30
Portsmouth Harbour,0,(0),0,0,(0),0,0.0,0,0.0,0,(0),(0),0,(0),(0),0,(0),0,(0),(0),nan,0,0,10,2019-11-21 14:25:30
Pulfin Bog and High Eske Nature Reserve,0,0,0,0,0,(0),0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Queen Elizabeth II Country Park Lakes,nan,nan,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,nan,0,0,10,2019-11-21 14:25:30
Queen Mary Reservoir,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Queen's Park (Swindon),0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
R.Bervie: Bervie Bay to Upper Mill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,3,2,(0),(0),0,0,0,nan,0,0,10,2019-11-21 14:25:30
Raa Estuary and Achnahaird Bay,0,(0),(0),nan,nan,nan,0.0,(0),0.0,0,0,0,0,0,0,0,0,0,(0),0,nan,0,0,10,2019-11-21 14:25:30
Ranworth and Cockshoot Broads,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Rhossili Causeway,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Ribble Estuary,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Rigg Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,10,2019-11-21 14:25:30
Ringstead Gravel Pits,nan,nan,nan,0,nan,0,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
River Avon - Fordingbridge to Ringwood,0,0,0,0,(0),0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
River Avon - Ringwood to Christchurch,0,(0),0,(0),0,0,0.0,0,0.0,(0),0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
River Lune - Caton to Hornby and Wenning Foot (The Snab),0,0,0,0,0,nan,nan,0,0.0,(0),0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
River Medway - M2 to Chatham Maritime,(0),(0),0,0,0,0,0.0,0,0.0,0,0,(0),(0),(0),0,nan,nan,0,nan,nan,nan,0,0,10,2019-11-21 14:25:30
River Ouse - Southease to Lewes (Lewes Brooks),(0),0,(0),0,0,0,0.0,0,nan,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Rother Valley Country Park,0,0,0,0,0,0,0.0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Rumworth Lodge Reservoir,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,nan,nan,0,0,nan,0,0,10,2019-11-21 14:25:30
Ruxley GP,0,(0),0,0,0,0,0.0,0,0.0,nan,nan,nan,nan,0,0,(0),nan,nan,nan,nan,nan,0,0,10,2019-11-21 14:25:30
Ryde Pier to Puckpool Point,0,0,0,0,0,0,0.0,0,0.0,0,nan,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Sanday (Orkney),nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,nan,nan,nan,nan,nan,0,nan,0,nan,0,0,10,2019-11-21 14:25:30
Scalby Ness Sands to Long Nab,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,2,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Sea Bank (Huttoft) Clay Pits,0,0,0,nan,nan,0,0.0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Serpentine and Long Water and Round Pond - Kensington,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Severn Estuary,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,10,2019-11-21 14:25:30
Severn Estuary (English counties),0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,nan,0,0,11,2019-11-21 14:25:35
Severn Estuary (Welsh counties),0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,nan,0,0,11,2019-11-21 14:25:35
Severn Hams,(0),0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,nan,0,0,11,2019-11-21 14:25:35
Shavington Park,0,0,0,nan,nan,nan,nan,nan,nan,0.0,0,0,(0),0,0,0,0,0,0.0,0.0,nan,0,0,11,2019-11-21 14:25:35
Siblyback Reservoir,0,0,0,0,0,0,0.0,0,(0),0.0,nan,0,0,0,0,0,0,0,0.0,0.0,nan,0,0,11,2019-11-21 14:25:35
Sinah Gravel Pit,0,0,0,0,0,0,0.0,(0),0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,11,2019-11-21 14:25:35
Slains Lochs (Meikle and Sand and Cotehill),nan,(0),0,0,0,(0),0.0,0,0,0.0,nan,(0),0,0,0,0,0,0,0.0,0.0,nan,0,0,11,2019-11-21 14:25:35
Slapton Ley,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,(0),0,0,0,0.0,0.0,nan,0,0,11,2019-11-21 14:25:35
Solway Estuary,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,nan,0,0,11,2019-11-21 14:25:35
