Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughAccessTime
Bittell Reservoirs,0,0,0.0,0,0.0,0,0,(0),0.0,0,0,0,0,0,0,0,0,(0),0,0,nan,0,0,3,2019-11-21 14:24:52
Black Devon Wetlands,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,(0),(0),nan,0,0,3,2019-11-21 14:24:52
Blackwater Estuary,0,0,0.0,0,0.0,0,0,0,0.0,0,0,3,0,1,4,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Blairbowie Farm Flash,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Blithfield Reservoir,0,0,0.0,0,0.0,0,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Blucks Pool to Freshwater West,0,(0),0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Blyth Estuary,nan,nan,0.0,(0),0.0,0,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Blyth Estuary (Northumberland),0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Boddam Voe,nan,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
Bolton-on-Swale Gravel Pits,0,0,0.0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-21 14:24:52
