Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Durleigh Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0.0,0.0,0.0,0.0,nan,0,0,nan,nan,0,nan,0,nan,nan,nan,nan,0,0.0,0,0,1,1.0,1.0,1.0,Jul,1,1,1,2019-11-29 10:42:21
"Eastville Park, Bristol",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,1,2,1.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Ewell Court Pond,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,3.0,1.0,nan,nan,nan,0.0,1.0,3.0,6.0,3,nan,nan,nan,nan,nan,nan,2,nan,nan,0.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Fal Complex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,2,1,0.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Greenhead Pond (Perchy Pond),nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,7,0,0,0.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Hainault Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0.0,0,0.0,1,1,1,1.0,1.0,May,1,1,2,2019-11-29 10:42:43
Heaton Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4,4.0,4,nan,2,4,0,0.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Helston Park Lake,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,3.0,Oct,1,1,2,2019-11-29 10:42:43
Hillsborough Park Sheffield,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,3,2.0,1,1,1,1.0,1.0,Aug,1,1,2,2019-11-29 10:42:43
Hooe Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0.0,0,0.0,1,nan,nan,nan,nan,nan,1,1,2,2019-11-29 10:42:43
Humber Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,2.0,2.0,Jul,1,1,2,2019-11-29 10:42:43
Ifield Mill Pond,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,2,2,1.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Kirk Hallam Lake,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1,1,1,1.0,nan,nan,1,1,2,2019-11-29 10:42:43
Llandrindod Lake,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0.0,0,0.0,0,1,1,nan,0.0,nan,1,1,2,2019-11-29 10:42:43
Lochan Sgeireach near Stoer,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,0.0,nan,1,1,2,2019-11-29 10:42:43
Longlands Lake,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,nan,nan,0.0,0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,2,1.0,0,0,0,0.0,4.0,Nov,1,1,2,2019-11-29 10:42:43
Margam Park Ponds,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0,0.0,0.0,nan,nan,0.0,0.0,3.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,3.0,1,2.0,5,2.0,0,2,0,0.0,2.0,Jan,1,1,2,2019-11-29 10:42:43
