Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Solway Estuary (English counties),7,1.0,nan,1750.0,2995.0,8766.0,4260.0,6895.0,"(11,046)",10479.0,6378.0,15168.0,14420.0,7493,9186.0,3374,8942,7067,"(10,309)",6910,2784,3353,1204,5350,3588,9796,4646,"(6,862)",6240,5004,5751,6613,6525,5890,12532,6302,8527,5411,2709,2803,Feb,5150,5150,2,2019-11-28 10:23:52
Simonswood Peat Moss,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,500WWT/JNCC National Grey Goose Censusnull",nan,nan,"8,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,000unspecified sea-watchnull","5,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","6,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,5000,5000,2,2019-11-28 10:23:52
The Wilderness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,562Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","16,660unspecified sea-watchnull","2,410Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,150Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,950Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",505Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"15,384Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Nov,4880,4880,2,2019-11-28 10:23:52
Horsey Mere,0,0.0,17.0,0.0,9.0,17.0,4.0,2.0,18,20.0,4.0,2.0,8.0,100,nan,nan,nan,nan,nan,(450),(100),1027,"3,620Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","8,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","7,231Supplementary daytime countsnull","6,240Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,430Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,"7,680Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,125Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,840Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,"5,340Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","6,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,400Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,130Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,160Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Nov,4706,4706,2,2019-11-28 10:23:52
"Mains Of Gorthy, Madderty",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,nan,"4,160Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,nan,4160,4160,2,2019-11-28 10:23:52
Whitrig Moss,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,12,(7),0,0,nan,0,400,10,200,nan,nan,700,nan,nan,"4,500Supplementary roost count under the WeBS Core Count SurveyWeBS",nan,nan,nan,nan,3000,3200,6000,4000,Mar,4050,4050,2,2019-11-28 10:23:52
Elrig Loch Port William,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"6,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,020Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,4010,4010,2,2019-11-28 10:23:52
Cocker's Dyke,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"4,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,650unspecified sea-watchnull",nan,nan,"2,303Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,440Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Nov,3514,3514,2,2019-11-28 10:23:52
Orchardton and Auchencairn Bays,nan,0.0,nan,nan,nan,nan,nan,nan,2500,300.0,100.0,250.0,9.0,0,300.0,8,20,175,0,650,1,(160),(990),nan,2000,3100,300,200,(800),(300),(500),0,(450),(550),(300),(400),(200),"(3,000)","(1,275)","(3,500)",Jan,1675,1675,2,2019-11-28 10:23:52
Grange Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0unspecified sea-watchnull,"1,527Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"4,737Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,826Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,3378,3378,2,2019-11-28 10:23:52
West Freugh,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"16,000Supplementary visit under the WeBS Core Count SurveyWeBS",(22),900Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,400Supplementary visit under the WeBS Core Count SurveyWeBS,"3,100Supplementary visit under the WeBS Core Count SurveyWeBS",nan,nan,nan,nan,nan,3100,3100,2,2019-11-28 10:23:52
Harperrig Reservoir,0,2.0,0.0,30.0,27.0,0.0,0.0,140.0,20,50.0,0.0,nan,nan,65,0.0,0,0,120,0,50,75,0,nan,150Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,5,0,0,1200,"1,420WWT/JNCC National Grey Goose Censusnull","1,435Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",524Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,90Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,122Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,720unspecified sea-watchnull,"2,560Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,650Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",2Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"2,250Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,3092,3092,2,2019-11-28 10:23:52
