Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Bache Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
"Backwell Lake, Nailsea (Bucklands Pond)",2.0,0,1,1,1.0,3.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Baddiley Mere and Reservoir,11.0,7,nan,nan,nan,nan,nan,nan,5Supplementary visit under the WeBS Core Count SurveyWeBS,7.0,5,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Baglan Pool,0.0,0,1,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Bainton Pits,1.0,0,1,1,3.0,1.0,0,0.0,1,1.0,0,0,0,0,0,0.0,0.0,0,0.0,0,nan,0,0,2,2019-11-22 03:20:19
Balgray Reservoir,0,0,0.0,0.0,0,0,1,0,1,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Ballysaggart Lough,nan,nan,nan,nan,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Balmonth Reservoir,0,0,0.0,0.0,0,0,(0),0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Banton Mill Pond,nan,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,nan,nan,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Bar Mere,3,3,0.0,5.0,5,1,3,2,5,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Barcombe Mills Reservoir,3,3,0.0,0.0,0,0,0,0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Bardney Pit,0,0,0.0,0.0,2,nan,nan,37,17,35.0,2.0,2,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Bardowie Loch,1,0,0.0,0.0,0,0,0,1,0,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,0,0,nan,0,0,3,2019-11-22 03:20:26
Barmston Ponds,0,3,2.0,4.0,6,4,5,5,0,0.0,6.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Baron's Haugh,1,0,0.0,0.0,2,1,1,0,4,1.0,1.0,0,0.0,0,0.0,(0),0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Barrow Gurney Reservoir,0,0,16.0,59.0,38,49,19,3,0,0.0,2.0,9,2.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Barrow Upon Trent Gravel Pit,0,0,0.0,0.0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,0,0,3,2019-11-22 03:20:26
Barton Broad,nan,0,0.0,1.0,0,0,1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Barton Pits and Catholme,2,1,1.0,3.0,1,0,2,2,5,0.0,0.0,0,1.0,0,0.0,0,0.0,nan,nan,nan,nan,0,0,3,2019-11-22 03:20:26
Bassenthwaite Lake,1,4,0.0,2.0,0,0,1,0,0,0.0,0.0,0,0.0,(0),0.0,0,0.0,0,(0),(0),nan,0,0,3,2019-11-22 03:20:26
Batemill Sand Quarry,2,1,0.0,0.0,2,2,2,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Battersea Park Lakes,0,nan,0.0,nan,0,(3),0,(0),(1),nan,nan,nan,nan,nan,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Beddington Sewage Farm,4,2,0.0,2.0,5,4,3,3,2,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Bedfont and Ashford Gravel Pits,(4),(6),7.0,4.0,(1),nan,nan,nan,0,1.0,4.0,(0),0.0,nan,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Beesands Ley,0,0,0.0,0.0,(0),0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Belhus Woods Country Park,nan,3,17.0,9.0,37,12,6,13,nan,nan,nan,8,3.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Belvide Reservoir,59,100,170.0,30.0,nan,6Ruddy Duck supplementary countsWWT/CSL,0,14Ruddy Duck supplementary countsWWT/CSL,3Ruddy Duck supplementary countsWWT/CSL,5.0,10.0,4,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Bemersyde Moss,0,15,4.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Berrington Pool,2,2,0.0,0.0,1,2,2,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Besthorpe and Girton Gravel Pits and Fleet,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,(0),nan,0,nan,0,0,3,2019-11-22 03:20:26
Beveridge Pond Kirkcaldy,0,0,1.0,0.0,0,nan,3,0,4,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Bewl Water,0,0,2.0,6.0,(5),3,3,0,0,0.0,0.0,0,1.0,0,0.0,0,0.0,0,(0),0,nan,0,0,3,2019-11-22 03:20:26
Bicton Lake,0,0,0.0,0.0,0,0,0,(1),0,nan,nan,nan,nan,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Big Waters,nan,nan,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Billing Gravel Pits,0,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0,0,nan,0,0,3,2019-11-22 03:20:26
Billinge Green Pools,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Birnie Loch,0,0,0,0,2,4,1,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Bishop Loch,11,5,0,0,0,2,0,0,0,5.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Bittell Reservoirs,14,14,4,2,7,14,0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,(0),0,0,nan,0,0,4,2019-11-22 03:20:32
Black Loch (Abdie),0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
Black Loch (Limerigg),0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,nan,0,0,4,2019-11-22 03:20:32
