Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Loch Fleet Complex,1584,980,"1,700Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,210Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",817Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,905Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,990Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,3000,1762,"2,100WWT/JNCC National Grey Goose Censusnull","1,110Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",2143,"2,255Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",3000,2500,265Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,086Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",401,1300,514,Oct,713,713,1,2019-11-22 01:18:22
Machrihanish,442Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,434Supplementary visit under the WeBS Core Count SurveyWeBS,148Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,18Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,388Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,29Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,79Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,272Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"323Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",200WWT/JNCC National Grey Goose Censusnull,467SNH countsSNH Islay office,490SNH countsSNH Islay office,478SNH countsSNH Islay office,419Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,535SNH countsSNH Islay office,nan,658SNH countsSNH Kirkwall office,780SNH countsSNH Kirkwall office,702SNH countsSNH Kirkwall office,nan,nan,713,713,1,2019-11-22 01:18:22
Loch Calder South,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,412Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,257Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,707Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,707,707,1,2019-11-22 01:18:22
Loch Spynie,0,"3,000Supplementary visit under the WeBS Core Count SurveyWeBS","5,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,600Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,30WWT/JNCC National Grey Goose Censusnull,60Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,36,73,3,7,"1,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",430Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Nov,688,688,1,2019-11-22 01:18:22
Loch Ken,(151),"(1,742)",(971),"(1,368)","(1,106)","(1,280)",1023,380Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,nan,nan,533Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,1046,505,677,605,714,651,475,nan,nan,611,611,1,2019-11-22 01:18:22
Loch Heilen,250,605,nan,nan,nan,52,250,(500),(50),2500,(142),4000,80,139Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"5,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,100Supplementary visit under the WeBS Core Count SurveyWeBS",136Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,300Supplementary visit under the WeBS Core Count SurveyWeBS",30,475,Feb,608,608,1,2019-11-22 01:18:22
Loch of Wester,(160),434,36,"4,300Supplementary visit under the WeBS Core Count SurveyWeBS",nan,nan,293,375,200,177,143,1253,132,"1,090Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","6,710Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",1357,514,824,147,196,Nov,608,608,1,2019-11-22 01:18:22
Inner Moray and Beauly Firths,"4,500Standard visit under the WeBS Low Tide Count SurveyWeBS","3,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,024Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","6,344Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","5,140Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",2117,1620,"5,380Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,035WWT/JNCC National Grey Goose Censusnull",462,"5,300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,637Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",3510,716,(346),760Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,604,772,236,Oct,593,593,1,2019-11-22 01:18:22
Loch Calder North,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,91Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,590Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,590,590,1,2019-11-22 01:18:22
Solway Estuary,589,396,564,(716),437,563,389,"(1,000)",289WWT/JNCC National Grey Goose Censusnull,350WWT/JNCC National Grey Goose Censusnull,503,250Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,434,338,66,"2,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",63,34,70Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,262,Sep,586,586,1,2019-11-22 01:18:22
Scrabster Loch,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,(0),0,0,470Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,"1,700Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",157Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,580Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Mar,581,581,2,2019-11-22 01:18:28
Black Cart Water (Gryfe-White Cart),6.0,(3),1,150,500,500,(400),(150),150,150,150,(500),(600),"(1,500)",(900),250,720,800,(600),500,Jan,574,574,2,2019-11-22 01:18:28
Tay Estuary,4350.0,158,245,1078,249Supplementary visit under the WeBS Core Count SurveyWeBS,315,40,120,910Standard visit under the WeBS Low Tide Count SurveyWeBS,76,20,32,350,54,595Standard visit under the WeBS Low Tide Count SurveyWeBS,162,545Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,414Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",306,431,Feb,572,572,2,2019-11-22 01:18:28
