Site,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
River Carron - Larbert to Carron Bridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Mar', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]",nan,"[2, 1, 'Mar', 0, None, None]","[3, 1, 'Jul', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[4, 1, 'Oct', 0, None, None]",2019-12-04 19:46:05
River Glen - Pinchbeck to Guthram Gowt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[11, 2, 'Mar', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[32, 1, 'Nov', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[20, 1, 'Oct', 0, None, None]",nan,nan,"[23, 1, 'Feb', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[29, 1, 'Mar', 0, None, None]","[3, 1, 'Oct', 0, None, None]",nan,nan,"[11, 1, 'Nov', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-04 19:46:05
River Thames - Walton Bridge to River Wey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Feb', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[5, 1, 'May', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[6, 1, 'Aug', 0, None, None]",2019-12-04 19:46:05
River Witham - Kirkstead Bridge to Nr Southrey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Rooksbury Mill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[19, 1, 'Dec', 0, None, None]","[23, 1, 'Jan', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[28, 1, 'Mar', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[36, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,"[74, 1, 'Oct', 0, None, None]",nan,"[60, 1, 'Sep', 0, None, None]","[65, 1, 'Oct', 0, None, None]","[30, 1, 'Oct', 0, None, None]","[48, 1, 'Dec', 0, None, None]","[26, 1, 'Sep', 0, None, None]","[17, 1, 'Sep', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
Sambrook Mill Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[33, 1, 'Sep', 0, None, None]","[52, 1, 'Sep', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[22, 1, 'Oct', 0, None, None]","[46, 1, 'Mar', 0, None, None]","[45, 1, 'Nov', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[18, 1, 'Jan', 0, None, None]","[32, 1, 'Dec', 0, None, None]","[49, 1, 'Sep', 0, None, None]","[37, 1, 'Sep', 0, None, None]","[29, 1, 'Nov', 0, None, None]","[21, 1, 'Nov', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[18, 1, 'Jan', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[30, 1, 'Jan', 0, None, None]","[46, 1, 'Jan', 0, None, None]","[86, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[38, 1, 'Jan', 0, None, None]","[18, 1, 'Jan', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[0, 2, '', 0, None, None]","[4, 1, 'Aug', 0, None, None]",nan,"[18, 1, 'Feb', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[4, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
Sandown Meadows Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Mar', 0, None, None]","[8, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
Shillinglee Park Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Feb', 0, None, None]","[3, 2, 'Aug', 0, None, None]","[1, 2, 'Sep', 0, None, None]",2019-12-04 19:46:05
South Ferriby Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[34, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Jun', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[5, 1, 'Jul', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[2, 1, 'Jul', 0, None, None]",2019-12-04 19:46:05
St Brides Major Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[10, 1, 'Jun', 0, None, None]","[9, 1, 'Aug', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[8, 1, 'Jan', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[4, 1, 'May', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[5, 1, 'Jul', 0, None, None]","[8, 1, 'Jul', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[4, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
St Johns Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[1, 1, 'Dec', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,"[23, 1, 'Jan', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[3, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[5, 1, 'Nov', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[14, 1, 'Jul', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-04 19:46:05
Stanford Park Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Jan', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[35, 1, 'Feb', 0, None, None]","[22, 1, 'Mar', 0, None, None]","[10, 1, 'Nov', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[30, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[0, 2, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[2, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Stanford Quarry (Shellingford Pit),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'Jun', 0, None, None]","[15, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[6, 1, 'Feb', 0, None, None]","[3, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-04 19:46:05
Stantling Craigs Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Mar', 0, None, None]",nan,nan,"[13, 1, 'Sep', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[2, 1, 'Sep', 0, None, None]",nan,"[8, 2, 'Mar', 0, None, None]",nan,"[26, 1, 'Feb', 0, None, None]","[25, 1, 'Sep', 0, None, None]",nan,nan,"[2, 1, 'Nov', 0, None, None]",nan,"[5, 1, 'Nov', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[22, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-04 19:46:05
Staunton Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Jun', 0, None, None]",2019-12-04 19:46:05
Stobsmuir Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[1, 1, 'May', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[7, 1, 'Jun', 0, None, None]","[12, 1, 'Jul', 0, None, None]",2019-12-04 19:46:05
Sulby Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[41, 1, 'Oct', 0, None, None]","[44, 1, 'Sep', 0, None, None]","[19, 1, 'Mar', 0, None, None]","[25, 1, 'Aug', 0, None, None]","[26, 1, 'Mar', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[24, 1, 'Feb', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[9, 1, 'Apr', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[15, 1, 'Mar', 0, None, None]","[11, 1, 'May', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[22, 1, 'Mar', 0, None, None]","[51, 1, 'Jan', 0, None, None]","[35, 1, 'Feb', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]",2019-12-04 19:46:05
Tardebigge Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Feb', 0, None, None]",nan,nan,2019-12-04 19:46:05
Thursley Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[24, 1, 'Dec', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[18, 1, 'Aug', 0, None, None]",nan,"[18, 1, 'Mar', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[14, 1, 'Oct', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[5, 1, 'May', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[12, 1, 'Jul', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[14, 1, 'Oct', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[8, 1, 'Jul', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[3, 1, 'Jul', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[4, 1, 'Mar', 0, None, None]","[7, 1, 'Jun', 0, None, None]","[4, 1, 'Oct', 0, None, None]",2019-12-04 19:46:05
Trabboch Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13, 1, 'Feb', 0, None, None]","[16, 1, 'Dec', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[11, 1, 'Oct', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[11, 2, 'Nov', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[6, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
Twigmore Gull Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[683, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[0, 2, '', 0, None, None]",nan,2019-12-04 19:46:05
Ulpha Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[17, 1, 'Jun', 0, None, None]","[1, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[9, 1, 'Apr', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Jun', 0, None, None]","[13, 1, 'Aug', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[4, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[0, 1, '', 0, None, None]",2019-12-04 19:46:05
Urswick Tarn near Ulverston,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[45, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,"[60, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[23, 1, 'Jan', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[5, 1, 'Feb', 0, None, None]",nan,"[5, 1, 'Sep', 0, None, None]",nan,nan,nan,2019-12-04 19:46:05
Wedgwood Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[11, 1, 'Jan', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Jul', 0, None, None]",nan,nan,2019-12-04 19:46:05
Welham Park Malton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 2, 'Jan', 0, None, None]",nan,"[5, 2, 'Feb', 0, None, None]",2019-12-04 19:46:05
West Mains Industrial Estate Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[9, 1, 'Sep', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[4, 1, 'Jan', 0, None, None]",nan,"[4, 1, 'Feb', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[6, 1, 'Dec', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[9, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
West Stobswood Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Jun', 0, None, None]","[2, 1, 'Jul', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'May', 0, None, None]","[18, 1, 'Feb', 0, None, None]",2019-12-04 19:46:05
Westbury Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Feb', 0, None, None]","[23, 1, 'Dec', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[9, 1, 'Oct', 0, None, None]",nan,"[6, 1, 'Nov', 0, None, None]","[14, 1, 'Jul', 0, None, None]",nan,"[14, 1, 'May', 0, None, None]","[34, 2, 'Feb', 0, None, None]","[25, 1, 'Dec', 0, None, None]","[29, 1, 'Feb', 0, None, None]","[35, 1, 'Feb', 0, None, None]","[22, 1, 'Jul', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[27, 1, 'Dec', 0, None, None]","[19, 1, 'Jan', 0, None, None]",nan,nan,nan,"[32, 1, 'Dec', 0, None, None]","[12, 1, 'Dec', 0, None, None]",nan,nan,"[5, 1, 'Apr', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[3, 1, 'Nov', 0, None, None]",nan,2019-12-04 19:46:05
