Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Cotswold Water Park,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0,0,0.0,3,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,2,0.0,0,0,0.0,0,2.0,3,0,5,0,1,1,0,nan,1,1,2,2019-11-27 19:23:18
Dingle Marshes and Walberswick National Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0.0,0,12,0.0,0,0,0.0,0,0.0,4,0,0,0,0,4,0,nan,1,1,2,2019-11-27 19:23:18
East Wretham Meres,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,nan,0,0,0,0.0,0,0.0,0,3,0.0,0,0,0.0,0,0.0,0,0,0,0,0,4,0,nan,1,1,2,2019-11-27 19:23:18
Haughton Strother GP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0.0,0,0,nan,0,0,3,0,nan,1,1,2,2019-11-27 19:23:18
Henfield Brooks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,5,13,7.0,3,4.0,0,0,2.0,(0),6,1.0,17,10.0,(0),7,0,0,4,(0),(0),nan,1,1,2,2019-11-27 19:23:18
Hilgay Fen NWTR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,2,Nov,1,1,2,2019-11-27 19:23:18
Humber Estuary,1,6.0,0.0,0.0,2.0,1.0,2.0,2.0,0,22,0.0,0,9.0,0.0,2.0,15.0,0.0,2,3,4,7,0,0.0,0,0.0,6,0,7.0,0,0,0.0,10,9.0,2Standard visit under the WeBS Low Tide Count SurveyWeBS,22,(3),0,0,0,0,nan,1,1,2,2019-11-27 19:23:18
Lakenheath Fen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(7),(2),nan,nan,nan,14.0,0,0,46.0,0,0,0.0,9,0.0,0,0,7,0,0,0,0,nan,1,1,2,2019-11-27 19:23:18
Pegwell Bay,3,nan,nan,0.0,nan,nan,nan,0.0,12,0,8.0,0,0.0,6.0,4.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,(0),(0),0.0,0,0,0.0,0,0.0,2,7Supplementary visit under the WeBS Core Count SurveyWeBS,3Supplementary visit under the WeBS Core Count SurveyWeBS,(0),0,0,0,nan,1,1,2,2019-11-27 19:23:18
Sefter Farm Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,nan,nan,1,1,2,2019-11-27 19:23:18
