Site▲▼,1998▲▼,1999▲▼,2000▲▼,2001▲▼,2002▲▼,2003▲▼,2004▲▼,2005▲▼,2006▲▼,2007▲▼,2008▲▼,2009▲▼,2010▲▼,2011▲▼,2012▲▼,2013▲▼,2014▲▼,2015▲▼,2016▲▼,2017▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼
Severn Estuary (Welsh counties),0,0,4.0,2.0,6,1,0,1,3,0,2.0,0.0,0.0,0,1,0.0,1.0,2,0,2,May,1,1,3,2019-11-21 13:53:28
Somerset Levels,0,0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,(2),Apr,1,1,3,2019-11-21 13:53:28
Southampton Water,0,0,0.0,0.0,0,2,0,0,0,2,2.0,0.0,1.0,1,0,0.0,0.0,2Supplementary visit under the WeBS Core Count SurveyWeBS,0,2,Mar,1,1,3,2019-11-21 13:53:28
Swale Estuary,3,1,1.0,2.0,0,2,3,0,2,0,1.0,0.0,0.0,0,0,0.0,1.0,0,2,0,nan,1,1,3,2019-11-21 13:53:28
Swallow Pond Wallsend,0.0,nan,nan,0.0,0,0.0,0.0,0.0,(0),0,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,nan,1,1,4,2019-11-21 13:53:34
Tan-y-Grisiau Reservoirs,nan,nan,nan,nan,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,nan,1,1,4,2019-11-21 13:53:34
Thames Estuary,2.0,6,9.0,2.0,5,2.0,3.0,2.0,1,1,8,4,4,0,1,2.0,0.0,3.0,1.0,1.0,Mar,1,1,4,2019-11-21 13:53:34
Tring Reservoirs,0.0,1,0.0,0.0,0,0.0,0.0,3.0,1,1,0,1,1,0,0,1.0,0.0,3.0,1.0,2.0,Sep,1,1,4,2019-11-21 13:53:34
WWT Caerlaverock (Inland),1.0,0,0.0,0.0,0,3.0,0.0,0.0,0,0,(2),0,1,6,nan,nan,1.0,nan,nan,nan,nan,1,1,4,2019-11-21 13:53:34
Wellington Gravel Pits,0.0,0,0.0,nan,0,0.0,0.0,nan,nan,0,0,0,0,1,0,3.0,0.0,0.0,nan,0.0,nan,1,1,4,2019-11-21 13:53:34
