Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Ardivachar Point (South Uist),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,0,0,nan,0,0,(0),518Supplementary visit under the WeBS Core Count SurveyWeBS,0,239,0,46,Feb,161,161,1,2019-11-28 04:18:08
Loch Borralie,nan,nan,nan,nan,nan,0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,0,0,0,0,25,0,(0),0,10,0,589,0,202,Feb,160,160,1,2019-11-28 04:18:08
Loch of Skaill,nan,nan,0.0,0.0,1.0,nan,0.0,7.0,nan,0.0,3.0,nan,0.0,nan,14,0,(11),0,2,0,0,(0),7,0,0,5,18,310,55,72,(80),20,42,88,91,112,89,180,170,(240),Jan,158,158,1,2019-11-28 04:18:08
Gruinard Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,52,63,nan,nan,nan,200Supplementary visit under the WeBS Core Count SurveyWeBS,61,66,68,54Supplementary visit under the WeBS Core Count SurveyWeBS,106,97,(0),0,88,71,138,182,120,Feb,120,120,1,2019-11-28 04:18:08
Loch Eaval and Loch Hosta (North Uist),nan,nan,nan,nan,0.0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,16,0,2,0,115,115,86,10,4,0,0,43,0,6,145,0,0,6,375,Mar,105,105,1,2019-11-28 04:18:08
Loch Gruinart Floods,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,182,7,7,nan,0,0,0,0,0,0,0,(0),1,0,0,0,0,189,163,151,Nov,101,101,1,2019-11-28 04:18:08
The Strand Colonsay,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,230.0,250.0,0.0,0.0,(77),(0),nan,0,30,10,250,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60,0,110,20,120,0,234,Dec,97,97,1,2019-11-28 04:18:08
Loch of Harray,0.0,0.0,0.0,0.0,1.0,0,0.0,7.0,0.0,1.0,2.0,12.0,0.0,1.0,0,1,0,0,0,0,0,(0),0,0,0,0,0,30,0,0,(0),1,0,0,0,0,1,100,102,209,Feb,82,82,1,2019-11-28 04:18:08
Glenastle Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,300,0,0,0,nan,60,60,1,2019-11-28 04:18:08
Dyfi Estuary,0.0,0.0,0.0,nan,0.0,0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,7,16,20,16,29,36,35,46,63,80,98,120,0,0,0,256,280,278,305,0,380,294,0,0,0,0,nan,59,59,1,2019-11-28 04:18:08
