Site,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,RoughTimeAccessed
Duddon Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[25, 1, 'May', 0, None, None]","[40, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[45, 1, 'Jun', 0, None, None]","[52, 1, 'Jul', 0, None, None]","[56, 1, 'Jun', 0, None, None]","[44, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[28, 1, 'May', 0, None, None]","[42, 1, 'Jun', 0, None, None]","[84, 1, 'Jul', 0, None, None]","[92, 1, 'Jun', 0, None, None]","[52, 1, 'May', 0, None, None]","[56, 1, 'May', 0, None, None]","[25, 1, 'Jun', 0, None, None]","[10, 1, 'May', 0, None, None]","[4, 1, 'May', 0, None, None]","[11, 1, 'May', 0, None, None]","[10, 1, 'May', 0, None, None]","[39, 1, 'Jul', 0, None, None]","[45, 1, 'May', 0, None, None]","[48, 2, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[50, 1, 'May', 0, None, None]",2020-01-19 18:22:00
Pagham Harbour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'Sep', 0, None, None]","[114, 1, 'Aug', 0, None, None]","[14, 2, 'Aug', 0, None, None]",nan,nan,nan,"[3, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[0, 2, '', 0, None, None]","[12, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[37, 1, 'Jul', 0, None, None]","[71, 1, 'May', 0, None, None]","[35, 2, 'May', 0, None, None]","[13, 1, 'May', 0, None, None]","[20, 1, 'Jul', 0, None, None]","[29, 1, 'May', 0, None, None]","[24, 1, 'May', 0, None, None]","[24, 1, 'Jun', 0, None, None]","[47, 1, 'Jul', 0, None, None]","[54, 1, 'Jul', 0, None, None]","[27, 1, 'May', 0, None, None]",2020-01-19 18:22:00
Tees Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[148, 1, 'Jul', 0, None, None]","[107, 1, 'May', 0, None, None]","[47, 1, 'Jun', 0, None, None]","[27, 1, 'May', 0, None, None]","[8, 1, 'May', 0, None, None]","[75, 1, 'Jul', 0, None, None]","[64, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[26, 1, 'Jul', 0, None, None]","[16, 1, 'May', 0, None, None]","[110, 2, 'Jul', 0, None, None]","[28, 1, 'May', 0, None, None]","[35, 2, 'Jul', 0, None, None]","[22, 1, 'May', 0, None, None]","[7, 2, 'Aug', 0, None, None]","[30, 1, 'Jul', 0, None, None]","[3, 1, 'May', 0, None, None]","[17, 2, 'Jul', 0, None, None]","[75, 1, 'Jul', 0, None, None]","[1, 2, 'May', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[6, 2, 'Jun', 0, None, None]","[2, 2, 'Jun', 0, None, None]","[89, 2, 'Jul', 0, None, None]",2020-01-19 18:22:00
Moray Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[23, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,2020-01-19 18:22:00
Chichester Harbour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Sep', 0, None, None]","[24, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[12, 2, 'May', 0, None, None]","[7, 2, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[15, 1, 'May', 0, None, None]","[200, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[42, 1, 'Aug', 0, None, None]","[28, 1, 'Aug', 0, None, None]","[36, 1, 'May', 0, None, None]","[14, 1, 'May', 0, None, None]","[34, 1, 'Jul', 0, None, None]","[34, 1, 'Jun', 0, None, None]","[31, 1, 'Aug', 0, None, None]","[44, 2, 'Jul', 0, None, None]","[16, 1, 'May', 0, None, None]","[64, 1, 'Jul', 0, None, None]","[27, 1, 'May', 0, None, None]","[26, 1, 'Jun', 0, None, None]","[18, 1, 'Jul', 0, None, None]","[18, 1, 'Jun', 0, None, None]","[20, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[23, 2, 'Jul', 0, None, None]",2020-01-19 18:22:00
North West Solent,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[4, 1, 'May', 0, None, None]","[14, 1, 'May', 0, None, None]","[57, 1, 'May', 0, None, None]","[56, 1, 'Jul', 0, None, None]","[33, 1, 'May', 0, None, None]","[28, 1, 'May', 0, None, None]","[35, 1, 'May', 0, None, None]","[19, 1, 'Apr', 0, None, None]","[18, 2, 'May', 0, None, None]","[22, 1, 'May', 0, None, None]","[1, 1, 'Jul', 0, None, None]",2020-01-19 18:22:00
Sound of Gigha,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'May', 0, None, None]","[2, 2, 'Jun', 0, None, None]","[2, 2, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[36, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[9, 2, 'May', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,2020-01-19 18:22:00
Sound of Gigha and Rhunahaorine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'May', 0, None, None]","[2, 2, 'Jun', 0, None, None]","[2, 2, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[36, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[9, 2, 'May', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,2020-01-19 18:22:00
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[40, 1, 'Aug', 0, None, None]","[71, 1, 'Sep', 0, None, None]","[467, 1, 'Aug', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[422, 2, 'Aug', 0, None, None]","[297, 1, 'Aug', 0, None, None]","[161, 1, 'Aug', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[100, 2, 'Aug', 0, None, None]","[28, 2, 'Aug', 0, None, None]","[33, 1, 'Aug', 0, None, None]","[74, 1, 'Aug', 0, None, None]","[154, 1, 'Aug', 0, None, None]","[101, 1, 'Aug', 0, None, None]","[57, 1, 'Aug', 0, None, None]","[125, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[10, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[6, 1, 'Aug', 0, None, None]","[45, 2, 'Aug', 0, None, None]","[1, 1, 'Jul', 0, None, None]",2020-01-19 18:22:00
Colne Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[35, 2, 'Sep', 0, None, None]","[0, 2, '', 0, None, None]",nan,nan,"[5, 1, 'Jun', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Aug', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[30, 1, 'Jun', 0, None, None]","[10, 1, 'Jun', 0, None, None]","[44, 2, 'Aug', 0, None, None]","[1, 2, 'Sep', 0, None, None]","[5, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[14, 2, 'Aug', 0, None, None]","[19, 1, 'Jul', 0, None, None]","[11, 1, 'Jul', 0, None, None]",2020-01-19 18:22:00
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[14, 1, 'May', 0, None, None]","[110, 1, 'May', 0, None, None]","[3, 1, 'May', 0, None, None]","[20, 1, 'May', 0, None, None]","[46, 1, 'May', 0, None, None]","[2, 1, 'May', 0, None, None]","[11, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[25, 1, 'May', 0, None, None]","[14, 1, 'Aug', 0, None, None]","[27, 1, 'May', 0, None, None]","[22, 1, 'Jul', 0, None, None]","[59, 1, 'Jul', 0, None, None]","[8, 1, 'Jun', 0, None, None]","[44, 1, 'May', 0, None, None]","[12, 1, 'May', 0, None, None]","[32, 1, 'Jul', 0, None, None]","[85, 1, 'May', 0, None, None]","[9, 1, 'Jun', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[18, 2, 'May', 0, None, None]","[1, 1, 'May', 0, None, None]","[11, 2, 'Aug', 0, None, None]","[10, 2, 'May', 0, None, None]","[9, 1, 'Jul', 0, None, None]",2020-01-19 18:22:00
