Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Conwy Estuary,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Cotswold Water Park (East),0.0,0,1,0,(0),(0),(0),(0),(0),(0),(0),(0),2,0,(0),(0),(0),nan,nan,nan,nan,0,0,2,2019-11-22 02:48:24
Cotswold Water Park (West),0.0,(0),0,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),0,(0),(0),0,nan,nan,nan,nan,0,0,2,2019-11-22 02:48:24
Cranwich Gravel Pits,0.0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0,0.0,1,1.0,Oct,0,0,2,2019-11-22 02:48:24
Croxall Pits,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Deben Estuary,0.0,0,0,0,1,(0),0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Dee Estuary (England and Wales),2.0,1,1,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Dee Estuary (English counties),2.0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Dee Estuary (Welsh counties),0.0,0.0,1.0,0,0.0,0,0.0,1.0,2,1.0,0,0.0,0.0,0,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Deeping St James,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Doddington Pool,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,2,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Doffcocker Lodge,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,nan,0.0,0,nan,nan,0,0,3,2019-11-22 02:48:30
Dolydd Hafren,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Duddon Estuary,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Dungeness and Rye Bay,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0,0.0,0,0.0,0.0,0,0,2,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Dysynni Estuary,0.0,1.0,0.0,nan,0.0,0,0.0,0.0,0,nan,0,0.0,0.0,0,0,(0),0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
East Wretham Meres,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,1,0,nan,0,0,3,2019-11-22 02:48:30
Erddig Park Lake,nan,0.0,0.0,(0),0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,nan,nan,0.0,0,nan,nan,0,0,3,2019-11-22 02:48:30
Eversholt Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0,0,0,0,nan,0,0,nan,0,0,3,2019-11-22 02:48:30
Eyebrook Reservoir,0.0,nan,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Fairburn Ings,0.0,0.0,0.0,0,0.0,0,nan,0.0,0,0.0,0,0.0,0.0,0,(0),0,1,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Farmoor Reservoirs,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,nan,nan,nan,nan,0,0,0,0.0,0,1,Aug,0,0,3,2019-11-22 02:48:30
Fen Drayton Lakes,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,(0),0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Fiddlers Ferry Power Station Lagoons,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,nan,0,0,3,2019-11-22 02:48:30
Fleet and Wey,0.0,1.0,0.0,(0),0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Forth Estuary,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Grafham Water,0.0,0.0,0.0,0,0.0,0,0.0,0.0,(0),0.0,0,0.0,0.0,1,0,(0),0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Great Meadow Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Hales Coal Brook Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,1,(0),0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Hamford Water,0.0,4.0,0.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,1,0.0,0,0,nan,0,0,3,2019-11-22 02:48:30
Hanningfield Reservoir,0.0,0.0,0.0,0,1.0,1,0.0,0.0,0,0.0,0,0.0,0.0,0,1,1,0,1.0,0,0,nan,0,0,3,2019-11-22 02:48:30
