Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Plashett Park Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0,35,26,0,58,51,Jul,34,34,1,2019-11-28 03:55:21
Blithfield Reservoir,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,18,3,3,4,1.0,1.0,2.0,3,1.0,2,9,5.0,1.0,12,7,7,19,35,34,nan,nan,2,39,43Supplementary visit under the WeBS Core Count SurveyWeBS,31,26,12.0,27,33,35,15,29,Aug,28,28,1,2019-11-28 03:55:21
Carsington Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,0,0.0,0,1.0,2,5.0,0.0,nan,11.0,19,21,37.0,48,6.0,42,40,46.0,33,18,14.0,27.0,33.0,29,21,28,Feb,28,28,2,2019-11-28 03:55:46
Langstone Harbour,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,(0),0.0,0,0,0,0.0,0,0.0,3,1.0,0.0,0,0.0,0,0,2.0,2,0.0,2,1,0.0,6,0,0.0,1.0,0.0,4Standard visit under the WeBS Low Tide Count SurveyWeBS,(1),125,Jan,33,33,2,2019-11-28 03:55:46
Fleet and Wey,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0,9,3.0,0,1.0,3,2.0,5.0,2,4.0,2,0,2.0,2,2.0,3,0,49.0,70,6,4.0,12.0,38.0,24,7,37,Dec,24,24,2,2019-11-28 03:55:46
University of York Lake Heslington,nan,nan,nan,nan,nan,nan,nan,23.0,0.0,0,0.0,nan,nan,nan,nan,39,nan,nan,nan,nan,nan,nan,nan,nan,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,25.0,15,24,27,Aug,23,23,2,2019-11-28 03:55:46
Uttoxeter Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45Supplementary visit under the WeBS Core Count SurveyWeBS,40.0,31,23,26.0,26.0,26.0,29,27,9,Jul,23,23,2,2019-11-28 03:55:46
Edgbaston The Vale,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,26,26,26.0,25.0,22.0,22,20,15,Nov,21,21,2,2019-11-28 03:55:46
Middle Yare Marshes,nan,0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,8,8.0,11,0.0,0,0,(60),0.0,16,56.0,56,70.0,80.0,20,141.0,(104),72,82.0,74,70.0,57,35,41.0,26,28,85.0,22.0,17.0,16,22,23,Dec,20,20,2,2019-11-28 03:55:46
Sutton North Fen Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0,19.0,11Supplementary visit under the WeBS Core Count SurveyWeBS,nan,30,Sep,20,20,2,2019-11-28 03:55:46
